title,info,type,play_num,bar_num,time,user_name
零基础入门python3爬虫,微信公共号：骑摩托车的托马斯，回复”20180109“获取视频源码.,演讲•公开课,14.6万,2937,2018-01-11,极客发烧友
【Python网络爬虫与信息提取】.MOOC. 北京理工大学,"http://www.icourse163.org/course/BIT-1001870001?tid=1001962001#/info 授课老师：嵩天
课程简介：“The website is the API.”网络爬虫逐渐成为自动获取网...",演讲•公开课,20.4万,6562,2017-04-12,子尃
Python爬虫从入门到高级实战【92集】千锋Python高级教程,"千锋
Python爬虫从入门到高级实战",演讲•公开课,3.2万,305,2018-11-29,York1996
python --廖xf商业爬虫（共28课，侵删）注：原课程有python入门课(意义不大)，这里只放爬虫干货内容,"https://www.kaikeba.com/vipcourse/python
课件资料
链接：https://pan.baidu.com/s/108Upyg1sfC3D9wetM4XSeA 
提取码：qzm1",演讲•公开课,1.1万,62,2019-02-05,我肛肛好
2018年最新Python3.6网络爬虫实战,2018年最新Python3.6网络爬虫实战，所有的课件还有笔记都放到了我的公众号上面（神奇的老黄），关注后点击“资源分享”菜单即可获取，还有其他没有上传的优秀视频。,野生技术协会,12.4万,2430,2018-02-03,神奇的老黄
python新手强烈推荐教程：爬虫入门,python爬虫入门教程,演讲•公开课,4.7万,692,2018-02-23,python热爱者
Python爬虫工程师必学 App数据抓取实战,Python爬虫工程师必学 App数据抓取实战【资源源于网络 侵权联系删除】,演讲•公开课,319,2,2019-02-25,Albino_big
【python爬虫】千锋Python爬虫从入门到精通（精华版）（92集）,"来源于网络，侵删，希望都能有所收获。更新的动力来源于关注，点赞，评论弹幕。
更多视频和源码，请加群：【984148637】
技术交流加群：667994476",演讲•公开课,240,0,2019-02-26,开发大陆
【编程开发】30个小时精通Python网络爬虫+项目实战（完）,"欢迎大家加入我的主页群  一起学习IT技术 
资料配套源码文档在群文件 仅供个人学习
【资源来源于网络 如有侵犯您的权益 
联系本人删除 并致以最深的歉意】",演讲•公开课,3500,21,2019-01-20,逆风微笑的程序猿
【PYTHON】爬虫成神之路（session six）,"教程源于网络 如有侵权 请联系删除
【PYTHON】爬虫成神之路（session six）",演讲•公开课,150,1,2019-02-19,自学IT的攻城狮
21天搞定Python分布爬虫,https://study.163.com/,演讲•公开课,5795,17,2019-01-01,Don_N
【数据挖掘】2019年最新python3 数据分析与数据爬虫实战,"IT资料技术交流群:709853736
视频如有侵权  联系删除",演讲•公开课,9.1万,1764,2018-04-26,逆风微笑的程序猿
【编程开发】崔老师2019最新 Python3爬虫实战课程,"www.itwar.cn
欢迎大家加入我的主页群  一起学习IT技术 
资料配套源码文档在群文件 仅供个人学习
【资源来源于网络 如有侵犯您的权益 
联系本人删除 并致以最深的歉意】",演讲•公开课,1325,0,2019-01-22,逆风微笑的程序猿
Python爬虫开发思维，学会90%的网站直接无视,喜欢python或者想学习python的朋友可以加QQ群：643692991！群内每天会更新python资料，还有大牛指导哟！,演讲•公开课,3.8万,889,2017-07-29,python凡梦
Python爬虫教程：爬取网站电影视频,有需要Python学习资料的小伙伴吗?小编整理【一套Python资料、源码和PDF】，感兴趣者可以加小编微信：【mmp9972】，反正闲着也是闲着呢，不如学点东西啦~~,演讲•公开课,2671,4,2018-09-29,python凡梦
python3爬虫项目进阶实战篇,python3爬虫项目进阶实战篇,演讲•公开课,1.1万,15,2018-04-09,woshigzp
【千锋】Python爬虫从入门到精通（精华版）（92集）,,演讲•公开课,421,0,2019-02-19,视频教程分享
【PYTHON】爬虫成神之路（session two）,"教程源于网络 如有侵权 请联系删除
【PYTHON】爬虫成神之路（session two）
【更多教程】945429869",演讲•公开课,139,0,2019-02-18,自学IT的攻城狮
崔庆才python3爬虫入门到精通课程,素材及代码加QQ194908655获取,演讲•公开课,284,1,2019-02-18,一个热爱学习的程序猿
Python3爬虫实战,"代码：链接: https://pan.baidu.com/s/1Vt7tsqptjSsLYMYYZoO4kw 密码: hace
解压密码：www.17zixueba.com@17pc3.5ts
如有侵权，私聊删除
QQ群：882657590",演讲•公开课,2221,1,2018-11-04,竹叶骨
